Year,Month,Company,Type,SubCategory,Account,Amount (INR)
2019,3,Construct Corp A,Assets,PPE,Buildings,5902042.49
2019,3,Construct Corp A,Assets,PPE,Construction Equipment,1400407.67
2019,3,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-764347.21
2019,3,Construct Corp A,Assets,PPE,Vehicles,3319247.67
2019,3,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-5114869.64
2019,3,Construct Corp A,Assets,Other Long Term Assets,Investments,1141296.53
2019,3,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,4223131.01
2019,3,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-3615928.5
2019,3,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,3161987.44
2019,3,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,6057477.93
2019,3,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,3462877.11
2019,3,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,2277421.94
2019,3,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,5934859.85
2019,3,Construct Corp A,Equity,Shareholder's Equity,Common Stock,1664734.56
2019,3,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,1574679.16
2019,3,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,2005030.53
2019,3,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,4051267.2
2019,4,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,1293631.13
2019,4,Construct Corp A,Assets,Current Assets,Accounts Receivable,2671633.19
2019,4,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-2004946.38
2019,4,Construct Corp A,Assets,Current Assets,Inventory,1644345.13
2019,4,Construct Corp A,Assets,Current Assets,Prepaid Expenses,2783615.22
2019,4,Construct Corp A,Assets,PPE,Land,2650212.38
2019,4,Construct Corp A,Assets,PPE,Buildings,2239516.14
2019,4,Construct Corp A,Assets,PPE,Construction Equipment,5039584.03
2019,4,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-5059972.23
2019,4,Construct Corp A,Assets,PPE,Vehicles,2855315.28
2019,4,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-1750167.36
2019,4,Construct Corp A,Assets,Other Long Term Assets,Investments,5319581.54
2019,4,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,2056687.7
2019,4,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-4777175.17
2019,4,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,1522596.48
2019,4,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,1880375.64
2019,4,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,3688884.21
2019,4,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,3994659.6
2019,4,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,4115501.58
2019,4,Construct Corp A,Equity,Shareholder's Equity,Common Stock,5912090.85
2019,4,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,469260.14
2019,4,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,5529684.39
2019,4,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,1927091.82
2019,5,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,4555814.11
2019,5,Construct Corp A,Assets,Current Assets,Accounts Receivable,3926507.06
2019,5,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-3128579.41
2019,5,Construct Corp A,Assets,Current Assets,Inventory,1081219.67
2019,5,Construct Corp A,Assets,Current Assets,Prepaid Expenses,813078.44
2019,5,Construct Corp A,Assets,PPE,Land,4499892.3
2019,5,Construct Corp A,Assets,PPE,Buildings,5314663.67
2019,5,Construct Corp A,Assets,PPE,Construction Equipment,2930412.04
2019,5,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-3960634.81
2019,5,Construct Corp A,Assets,PPE,Vehicles,2299689.07
2019,5,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-1633656.65
2019,5,Construct Corp A,Assets,Other Long Term Assets,Investments,5148896.31
2019,5,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,4435723.95
2019,5,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-2491641.43
2019,5,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,4235681.62
2019,5,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,1549798.03
2019,5,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,3935438.81
2019,5,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,2329124.77
2019,5,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,4534207.41
2019,5,Construct Corp A,Equity,Shareholder's Equity,Common Stock,6566875.4
2019,5,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,2960217.1
2019,5,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,4555513.0
2019,5,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,3559522.36
2019,6,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,6744695.58
2019,6,Construct Corp A,Assets,Current Assets,Accounts Receivable,5275293.75
2019,6,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-2748402.12
2019,6,Construct Corp A,Assets,Current Assets,Inventory,991449.81
2019,6,Construct Corp A,Assets,Current Assets,Prepaid Expenses,3505480.92
2019,6,Construct Corp A,Assets,PPE,Land,2827633.64
2019,6,Construct Corp A,Assets,PPE,Buildings,5904618.57
2019,6,Construct Corp A,Assets,PPE,Construction Equipment,4243381.77
2019,6,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-6277981.48
2019,6,Construct Corp A,Assets,PPE,Vehicles,3270583.02
2019,6,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-3863548.75
2019,6,Construct Corp A,Assets,Other Long Term Assets,Investments,3826399.31
2019,6,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,5076538.77
2019,6,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-2995498.54
2019,6,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,1412887.98
2019,6,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,5124392.47
2019,6,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,6724862.37
2019,6,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,6313666.4
2019,6,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,410769.04
2019,6,Construct Corp A,Equity,Shareholder's Equity,Common Stock,6228218.76
2019,6,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,4607523.85
2019,6,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,530319.54
2019,6,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,2141176.2
2019,7,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,3449268.79
2019,7,Construct Corp A,Assets,Current Assets,Accounts Receivable,5898953.7
2019,7,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-5290533.81
2019,7,Construct Corp A,Assets,Current Assets,Inventory,2438579.63
2019,7,Construct Corp A,Assets,Current Assets,Prepaid Expenses,864489.02
2019,7,Construct Corp A,Assets,PPE,Land,5259569.15
2019,7,Construct Corp A,Assets,PPE,Buildings,2524556.53
2019,7,Construct Corp A,Assets,PPE,Construction Equipment,4985601.74
2019,7,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-3188931.03
2019,7,Construct Corp A,Assets,PPE,Vehicles,3649596.07
2019,7,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-861440.97
2019,7,Construct Corp A,Assets,Other Long Term Assets,Investments,964156.92
2019,7,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,556157.04
2019,7,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-2531382.26
2019,7,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,3231446.93
2019,7,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,6066742.51
2019,7,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,3268870.46
2019,7,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,1758186.16
2019,7,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,2000107.41
2019,7,Construct Corp A,Equity,Shareholder's Equity,Common Stock,4591792.01
2019,7,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,3128113.18
2019,7,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,698493.59
2019,7,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,570663.59
2019,8,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,3888312.86
2019,8,Construct Corp A,Assets,Current Assets,Accounts Receivable,2494304.89
2019,8,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-5991860.15
2019,8,Construct Corp A,Assets,Current Assets,Inventory,3824258.91
2019,8,Construct Corp A,Assets,Current Assets,Prepaid Expenses,922711.12
2019,8,Construct Corp A,Assets,PPE,Land,1084475.12
2019,8,Construct Corp A,Assets,PPE,Buildings,3730582.09
2019,8,Construct Corp A,Assets,PPE,Construction Equipment,6005703.89
2019,8,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-526011.06
2019,8,Construct Corp A,Assets,PPE,Vehicles,1586347.39
2019,8,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-3779889.3
2019,8,Construct Corp A,Assets,Other Long Term Assets,Investments,5105047.49
2019,8,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,4262499.82
2019,8,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-2197966.07
2019,8,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,3753537.06
2019,8,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,4986920.79
2019,8,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,1165296.55
2019,8,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,2162404.86
2019,8,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,3994551.87
2019,8,Construct Corp A,Equity,Shareholder's Equity,Common Stock,3743102.98
2019,8,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,5796661.68
2019,8,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,6874098.62
2019,8,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,1895417.72
2019,9,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,5109118.39
2019,9,Construct Corp A,Assets,Current Assets,Accounts Receivable,5915476.1
2019,9,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-4709653.76
2019,9,Construct Corp A,Assets,Current Assets,Inventory,716926.03
2019,9,Construct Corp A,Assets,Current Assets,Prepaid Expenses,3499677.5
2019,9,Construct Corp A,Assets,PPE,Land,2114131.85
2019,9,Construct Corp A,Assets,PPE,Buildings,369561.92
2019,9,Construct Corp A,Assets,PPE,Construction Equipment,1798122.24
2019,9,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-4296777.09
2019,9,Construct Corp A,Assets,PPE,Vehicles,987650.9
2019,9,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-5710918.14
2019,9,Construct Corp A,Assets,Other Long Term Assets,Investments,4261664.6
2019,9,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,2743826.81
2019,9,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-580031.23
2019,9,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,499599.27
2019,9,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,5802197.55
2019,9,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,2071150.52
2019,9,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,2982452.52
2019,9,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,4477200.59
2019,9,Construct Corp A,Equity,Shareholder's Equity,Common Stock,2406611.34
2019,9,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,3028222.12
2019,9,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,5881129.1
2019,9,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,5845802.66
2019,10,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,4138100.23
2019,10,Construct Corp A,Assets,Current Assets,Accounts Receivable,3266347.44
2019,10,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-3290319.16
2019,10,Construct Corp A,Assets,Current Assets,Inventory,4109803.29
2019,10,Construct Corp A,Assets,Current Assets,Prepaid Expenses,6496316.7
2019,10,Construct Corp A,Assets,PPE,Land,5323041.57
2019,10,Construct Corp A,Assets,PPE,Buildings,6310361.35
2019,10,Construct Corp A,Assets,PPE,Construction Equipment,4262631.74
2019,10,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-4482107.95
2019,10,Construct Corp A,Assets,PPE,Vehicles,5602897.11
2019,10,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-3885288.22
2019,10,Construct Corp A,Assets,Other Long Term Assets,Investments,5618483.36
2019,10,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,5236448.68
2019,10,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-6307474.6
2019,10,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,6814120.69
2019,10,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,1689445.14
2019,10,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,1862030.84
2019,10,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,4515119.88
2019,10,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,4988484.85
2019,10,Construct Corp A,Equity,Shareholder's Equity,Common Stock,5024958.37
2019,10,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,3210614.39
2019,10,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,3341227.86
2019,10,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,3173832.43
2019,11,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,4210686.64
2019,11,Construct Corp A,Assets,Current Assets,Accounts Receivable,5465724.06
2019,11,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-2693647.59
2019,11,Construct Corp A,Assets,Current Assets,Inventory,2008201.36
2019,11,Construct Corp A,Assets,Current Assets,Prepaid Expenses,4766986.12
2019,11,Construct Corp A,Assets,PPE,Land,2640067.64
2019,11,Construct Corp A,Assets,PPE,Buildings,6271337.55
2019,11,Construct Corp A,Assets,PPE,Construction Equipment,3244099.85
2019,11,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-5569655.48
2019,11,Construct Corp A,Assets,PPE,Vehicles,2855108.99
2019,11,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-336770.5
2019,11,Construct Corp A,Assets,Other Long Term Assets,Investments,5830477.19
2019,11,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,6726710.57
2019,11,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-6510292.66
2019,11,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,4338161.15
2019,11,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,2363334.08
2019,11,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,1882491.06
2019,11,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,369099.28
2019,11,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,3531701.63
2019,11,Construct Corp A,Equity,Shareholder's Equity,Common Stock,6485641.81
2019,11,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,6067242.24
2019,11,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,1880050.59
2019,11,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,642843.44
2019,12,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,5479105.77
2019,12,Construct Corp A,Assets,Current Assets,Accounts Receivable,3147884.97
2019,12,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-6233881.67
2019,12,Construct Corp A,Assets,Current Assets,Inventory,1515126.22
2019,12,Construct Corp A,Assets,Current Assets,Prepaid Expenses,5084136.61
2019,12,Construct Corp A,Assets,PPE,Land,3963818.24
2019,12,Construct Corp A,Assets,PPE,Buildings,3342067.72
2019,12,Construct Corp A,Assets,PPE,Construction Equipment,4380989.47
2019,12,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-5656900.71
2019,12,Construct Corp A,Assets,PPE,Vehicles,1890895.37
2019,12,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-3807180.43
2019,12,Construct Corp A,Assets,Other Long Term Assets,Investments,3337578.2
2019,12,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,2216133.53
2019,12,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-7030062.49
2019,12,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,6877490.23
2019,12,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,5328146.6
2019,12,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,5986902.46
2019,12,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,1777736.66
2019,12,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,3077685.74
2019,12,Construct Corp A,Equity,Shareholder's Equity,Common Stock,3206796.87
2019,12,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,2093864.44
2019,12,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,589777.16
2019,12,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,3605928.65
2020,1,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,1049420.36
2020,1,Construct Corp A,Assets,Current Assets,Accounts Receivable,6012653.18
2020,1,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-2793607.65
2020,1,Construct Corp A,Assets,Current Assets,Inventory,3716637.08
2020,1,Construct Corp A,Assets,Current Assets,Prepaid Expenses,2545498.52
2020,1,Construct Corp A,Assets,PPE,Land,2614190.57
2020,1,Construct Corp A,Assets,PPE,Buildings,1909230.67
2020,1,Construct Corp A,Assets,PPE,Construction Equipment,4393567.32
2020,1,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-1966451.07
2020,1,Construct Corp A,Assets,PPE,Vehicles,4309231.01
2020,1,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-5933336.98
2020,1,Construct Corp A,Assets,Other Long Term Assets,Investments,5277030.57
2020,1,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,5620735.45
2020,1,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-2205568.86
2020,1,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,5893711.32
2020,1,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,1587468.86
2020,1,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,4455486.13
2020,1,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,1176722.32
2020,1,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,2826200.55
2020,1,Construct Corp A,Equity,Shareholder's Equity,Common Stock,1996302.78
2020,1,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,3266487.91
2020,1,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,3564503.53
2020,1,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,2396227.81
2020,2,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,991185.18
2020,2,Construct Corp A,Assets,Current Assets,Accounts Receivable,906808.32
2020,2,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-5544082.3
2020,2,Construct Corp A,Assets,Current Assets,Inventory,2096494.54
2020,2,Construct Corp A,Assets,Current Assets,Prepaid Expenses,1571622.17
2020,2,Construct Corp A,Assets,PPE,Land,6146541.75
2020,2,Construct Corp A,Assets,PPE,Buildings,5791818.2
2020,2,Construct Corp A,Assets,PPE,Construction Equipment,1459551.04
2020,2,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-5916419.18
2020,2,Construct Corp A,Assets,PPE,Vehicles,2747743.83
2020,2,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-2707794.09
2020,2,Construct Corp A,Assets,Other Long Term Assets,Investments,745346.72
2020,2,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,3837258.12
2020,2,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-5690405.43
2020,2,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,1847285.75
2020,2,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,6617348.33
2020,2,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,5709112.16
2020,2,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,6727180.76
2020,2,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,1497481.87
2020,2,Construct Corp A,Equity,Shareholder's Equity,Common Stock,620824.91
2020,2,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,3922953.63
2020,2,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,777833.7
2020,2,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,5942751.12
2020,3,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,968236.43
2020,3,Construct Corp A,Assets,Current Assets,Accounts Receivable,3812692.77
2020,3,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-4472187.75
2020,3,Construct Corp A,Assets,Current Assets,Inventory,3216399.23
2020,3,Construct Corp A,Assets,Current Assets,Prepaid Expenses,5348705.58
2020,3,Construct Corp A,Assets,PPE,Land,4995214.48
2020,3,Construct Corp A,Assets,PPE,Buildings,1472133.18
2020,3,Construct Corp A,Assets,PPE,Construction Equipment,1783923.74
2020,3,Construct Corp A,Assets,PPE,Accumulated Depreciation - PPE,-5234769.31
2020,3,Construct Corp A,Assets,PPE,Vehicles,6879568.55
2020,3,Construct Corp A,Assets,PPE,Accumulated Depreciation - Vehicles,-6447736.61
2020,3,Construct Corp A,Assets,Other Long Term Assets,Investments,2568939.4
2020,3,Construct Corp A,Assets,Other Long Term Assets,Intangible Assets,6385198.19
2020,3,Construct Corp A,Assets,Other Long Term Assets,Accumulated Amortization,-1293047.73
2020,3,Construct Corp A,Liabilities,Current Liabilities,Accounts Payable,6599513.8
2020,3,Construct Corp A,Liabilities,Current Liabilities,Accrued Expenses,5125296.42
2020,3,Construct Corp A,Liabilities,Current Liabilities,Short-Term Loans,4680541.6
2020,3,Construct Corp A,Liabilities,Long-Term Liabilities,Long-Term Debt,4347017.19
2020,3,Construct Corp A,Liabilities,Long-Term Liabilities,Lease Obligations,3662320.2
2020,3,Construct Corp A,Equity,Shareholder's Equity,Common Stock,4682436.96
2020,3,Construct Corp A,Equity,Shareholder's Equity,Preferred Stock,1403995.55
2020,3,Construct Corp A,Equity,Shareholder's Equity,Additional Paid-in Capital,4869864.72
2020,3,Construct Corp A,Equity,Shareholder's Equity,Retained Earnings,5454776.49
2020,4,Construct Corp A,Assets,Current Assets,Cash and Cash Equivalents,1917300.49
2020,4,Construct Corp A,Assets,Current Assets,Accounts Receivable,1479067.18
2020,4,Construct Corp A,Assets,Current Assets,Allowance for Doubtful Accounts,-6356632.89
2020,4,Construct Corp A,Assets,Current Assets,Inventory,5531722.15
2020,4,Construct Corp A,Assets,Current Assets,Prepaid Expenses,5371343.87
